Queue,cutoff_fraction,Window size,Model name,Window number,Window start time,Window end time,Total jobs in window,test_r2score,test_mae,test_rmse,future_r2score,future_mae,future_rmse,test_acc_score_class_after_reg,future_acc_score_class_after_reg
normal,0.9,6,HistGradientBoostingRegressor,0,2022-02-01 00:10:00,2022-03-03 03:54:24,37585,  0.8558325338863286,56.470910239901634,119.62267817645979,0.12727311652906348,      192.53695396852837,348.5687724977466, 0.8167307123854567,0.5982974195264698
normal,0.9,6,HistGradientBoostingRegressor,1,2022-03-03 04:10:13,2022-04-02 07:27:45,45268,  0.8358061339134907,44.73267186862903,104.58434003976912,0.02639906801579739,      75.24390652979694,158.7648944860248, 0.8204687691741318,0.5827258670201017
normal,0.9,6,HistGradientBoostingRegressor,2,2022-04-02 08:06:40,2022-05-02 11:43:14,62679,  0.7589626639763619,17.538893803291373,73.1113858304132,0.33992701297485095,      11.995703166169125,61.20169412416659, 0.9097757688558008,0.9934588385449904
normal,0.9,6,HistGradientBoostingRegressor,3,2022-05-02 12:27:23,2022-06-01 16:02:17,53283,  0.9181101123277169,11.328766942380582,64.93915986675816,-26.35459416329845,      32.08009979057315,92.486190115924, 0.9579814409342091,0.8855319947457309
normal,0.9,6,HistGradientBoostingRegressor,4,2022-06-01 16:03:19,2022-07-01 20:00:56,58238,  0.7956259025223259,23.51175966661567,77.09046772723308,-0.32570606197459506,      11.500653645147752,50.407706036096805, 0.861966994181055,0.9333791208791209
normal,0.9,6,HistGradientBoostingRegressor,5,2022-07-01 20:00:58,2022-07-31 23:59:09,64342,  0.8790013615408587,8.651365534135701,49.61242625891335,0.610960055778196,      74.97514270232487,188.39987146465091, 0.9638231738905197,0.8001554001554002
normal,0.9,6,KNeighborsRegressor,0,2022-02-01 00:10:00,2022-03-03 03:54:24,37585,  0.8281584603873984,36.38124445758203,130.60023736465567,0.2750325765012761,      182.74767225325886,317.69365848428254, 0.9091043452556902,0.6453844107475393
normal,0.9,6,KNeighborsRegressor,1,2022-03-03 04:10:13,2022-04-02 07:27:45,45268,  0.8435473406074476,24.121425941833355,102.08916946126537,-0.5674815002896181,      88.96565054119726,201.44903928697292, 0.9239170450362008,0.5590899050143583
normal,0.9,6,KNeighborsRegressor,2,2022-04-02 08:06:40,2022-05-02 11:43:14,62679,  0.7492797404315319,10.968182221040504,74.56543761581908,0.3222473103222584,      4.571753350350989,62.01590545268323, 0.9537357085881415,0.9936183790682833
normal,0.9,6,KNeighborsRegressor,3,2022-05-02 12:27:23,2022-06-01 16:02:17,53283,  0.8989946464297708,6.279011573350016,72.1213296117388,-44.417509923055604,      21.957590542315632,119.17177593140562, 0.9810238765509331,0.9322574591855883
normal,0.9,6,KNeighborsRegressor,4,2022-06-01 16:03:19,2022-07-01 20:00:56,58238,  0.8314441711265925,13.56238672135839,70.00992982949288,0.035321784151594815,      7.142084478021978,42.999613166704926, 0.9348468949728131,0.9775068681318682
normal,0.9,6,KNeighborsRegressor,5,2022-07-01 20:00:58,2022-07-31 23:59:09,64342,  0.8993835491598893,4.77542738732516,45.24126310583625,0.48918825703043467,      72.17125097125097,215.88076149972972, 0.9819547573821447,0.8680652680652681
